IndicatorName,IndicatorCode,Location,LocationCode,Year,Disaggregation,NumericValue,DisplayValue,Comments
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Mongolia,MNG,2019,NA,215.405,215,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Montenegro,MNE,2019,NA,114.9,115,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Morocco,MAR,2019,NA,66.166,66,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Mozambique,MOZ,2019,NA,229.898,230,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Myanmar,MMR,2019,NA,177.986,178,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Namibia,NAM,2019,NA,143.126,143,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Nepal,NPL,2019,NA,179.502,180,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Netherlands (Kingdom of the),NLD,2019,NA,13.152,13,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,New Zealand,NZL,2019,NA,12.23,12,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Nicaragua,NIC,2019,NA,85.067,85,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Niger,NER,2019,NA,220.024,220,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Nigeria,NGA,2019,NA,175.015,175,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,North Macedonia,MKD,2019,NA,95.584,96,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Norway,NOR,2019,NA,7.864,8,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Oman,OMN,2019,NA,104.071,104,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Pakistan,PAK,2019,NA,194.569,195,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Panama,PAN,2019,NA,17.329,17,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Papua New Guinea,PNG,2019,NA,190.606,191,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Paraguay,PRY,2019,NA,55.619,56,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Peru,PER,2019,NA,38.692,39,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Philippines,PHL,2019,NA,204.643,205,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Poland,POL,2019,NA,40.925,41,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Portugal,PRT,2019,NA,10.002,10,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Qatar,QAT,2019,NA,90.808,91,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Region of the Americas,AMR,2019,NA,31.24,31,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Republic of Korea,KOR,2019,NA,18.891,19,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Republic of Moldova,MDA,2019,NA,66.648,67,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Romania,ROU,2019,NA,45.976,46,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Russian Federation,RUS,2019,NA,80.363,80,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Rwanda,RWA,2019,NA,166.915,167,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Saint Lucia,LCA,2019,NA,27.698,28,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Saint Vincent and the Grenadines,VCT,2019,NA,35.504,36,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Samoa,WSM,2019,NA,145.765,146,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Sao Tome and Principe,STP,2019,NA,226.4,226,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Saudi Arabia,SAU,2019,NA,91.17,91,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Senegal,SEN,2019,NA,145.998,146,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Serbia,SRB,2019,NA,71.876,72,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Seychelles,SYC,2019,NA,43.141,43,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Sierra Leone,SLE,2019,NA,242.118,242,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Singapore,SGP,2019,NA,23.415,23,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Slovakia,SVK,2019,NA,30.373,30,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Slovenia,SVN,2019,NA,18.759,19,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Solomon Islands,SLB,2019,NA,282.032,282,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Somalia,SOM,2019,NA,247.945,248,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,South Africa,ZAF,2019,NA,73.959,74,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,South Sudan,SSD,2019,NA,144.39,144,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,South-East Asia Region,SEAR,2019,NA,133.909,134,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Spain,ESP,2019,NA,10.124,10,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Sri Lanka,LKA,2019,NA,91.792,92,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Sudan,SDN,2019,NA,143.027,143,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Suriname,SUR,2019,NA,50.483,50,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Sweden,SWE,2019,NA,8.08,8,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Switzerland,CHE,2019,NA,10.4,10,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Syrian Arab Republic,SYR,2019,NA,96.072,96,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Tajikistan,TJK,2019,NA,201.389,201,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Thailand,THA,2019,NA,46.141,46,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Timor-Leste,TLS,2019,NA,186.668,187,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Togo,TGO,2019,NA,225.643,226,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Tonga,TON,2019,NA,51.842,52,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Trinidad and Tobago,TTO,2019,NA,19.78,20,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Tunisia,TUN,2019,NA,56.013,56,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Türkiye,TUR,2019,NA,45.307,45,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Turkmenistan,TKM,2019,NA,88.538,89,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Uganda,UGA,2019,NA,164.928,165,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Ukraine,UKR,2019,NA,77.815,78,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,United Arab Emirates,ARE,2019,NA,70.037,70,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,United Kingdom,GBR,2019,NA,13.452,13,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,United Republic of Tanzania,TZA,2019,NA,129.905,130,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,United States of America,USA,2019,NA,14.223,14,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Uruguay,URY,2019,NA,16.177,16,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Uzbekistan,UZB,2019,NA,153.95,154,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Vanuatu,VUT,2019,NA,260.976,261,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Venezuela (Bolivarian Republic of),VEN,2019,NA,39.634,40,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Viet Nam,VNM,2019,NA,66.181,66,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Western Pacific Region,WPR,2019,NA,90.754,91,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Yemen,YEM,2019,NA,190.482,190,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Zambia,ZMB,2019,NA,176.495,176,
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population),SDGAIRBODA,Zimbabwe,ZWE,2019,NA,191.855,192,
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Afghanistan,AFG,2022,NA,22.7,22.7,The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,African Region,AFR,2022,NA,9.5,9.5,
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Albania,ALB,2022,NA,21.9,21.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017-18. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Algeria,DZA,2022,NA,21.2,21.2,The most recent survey was conducted in 2016-17. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Andorra,AND,2022,NA,36.3,36.3,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017-18. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Argentina,ARG,2022,NA,23.8,23.8,The most recent survey was conducted in 2018. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Armenia,ARM,2022,NA,24.9,24.9,The most recent survey was conducted in 2016. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Australia,AUS,2022,NA,13.1,13.1,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020-21. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Austria,AUT,2022,NA,24.9,24.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Azerbaijan,AZE,2022,NA,19.6,19.6,The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Bahamas,BHS,2022,NA,11.3,11.3,The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Bahrain,BHR,2022,NA,15,15,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017-19. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Bangladesh,BGD,2022,NA,32.9,32.9,The most recent survey was conducted in 2018. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Barbados,BRB,2022,NA,7,7,The most recent survey was conducted in 2011-12. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Belarus,BLR,2022,NA,30.1,30.1,
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Belgium,BEL,2022,NA,26.7,26.7,The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Belize,BLZ,2022,NA,8.8,8.8,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2015. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Benin,BEN,2022,NA,6.3,6.3,The most recent survey was conducted in 2017-18. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Bhutan,BTN,2022,NA,18.7,18.7,The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Bolivia (Plurinational State of),BOL,2022,NA,12.4,12.4,The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Bosnia and Herzegovina,BIH,2022,NA,36.2,36.2,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2011-12. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Botswana,BWA,2022,NA,18.7,18.7,The most recent survey was conducted in 2017. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Brazil,BRA,2022,NA,12.2,12.2,The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Brunei Darussalam,BRN,2022,NA,16.4,16.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2016. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Bulgaria,BGR,2022,NA,39.5,39.5,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Burkina Faso,BFA,2022,NA,14.3,14.3,The most recent survey was conducted in 2013. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Burundi,BDI,2022,NA,11.2,11.2,The most recent survey was conducted in 2016-17. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Cabo Verde,CPV,2022,NA,11,11,The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Cambodia,KHM,2022,NA,17.2,17.2,The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Cameroon,CMR,2022,NA,6.5,6.5,The most recent survey was conducted in 2018. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Canada,CAN,2022,NA,12,12,The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Chad,TCD,2022,NA,7.4,7.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2014-15. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Chile,CHL,2022,NA,28.7,28.7,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,China,CHN,2022,NA,23.4,23.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2018. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Colombia,COL,2022,NA,8.2,8.2,The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Comoros,COM,2022,NA,17.2,17.2,The most recent survey was conducted in 2012. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Congo,COG,2022,NA,15.4,15.4,The most recent survey was conducted in 2014-15. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Cook Islands,COK,2022,NA,27,27,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Costa Rica,CRI,2022,NA,8.9,8.9,The most recent survey was conducted in 2015. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Côte d'Ivoire,CIV,2022,NA,8.8,8.8,The most recent survey was conducted in 2016. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Croatia,HRV,2022,NA,37,37,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Cuba,CUB,2022,NA,17.4,17.4,The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Cyprus,CYP,2022,NA,35.6,35.6,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Czechia,CZE,2022,NA,29.9,29.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Democratic People's Republic of Korea,PRK,2022,NA,16.5,16.5,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Democratic Republic of the Congo,COD,2022,NA,12.2,12.2,The most recent survey was conducted in 2017-18. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Denmark,DNK,2022,NA,16.2,16.2,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Dominican Republic,DOM,2022,NA,10.5,10.5,The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Eastern Mediterranean Region,EMR,2022,NA,17.9,17.9,
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Ecuador,ECU,2022,NA,10.2,10.2,The most recent survey was conducted in 2018. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Egypt,EGY,2022,NA,24.7,24.7,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2016-17. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,El Salvador,SLV,2022,NA,8.9,8.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2014-15. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Estonia,EST,2022,NA,28.3,28.3,The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Eswatini,SWZ,2022,NA,9.5,9.5,The most recent survey was conducted in 2014. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Ethiopia,ETH,2022,NA,5.2,5.2,The most recent survey was conducted in 2016. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,European Region,EUR,2022,NA,25.3,25.3,
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Fiji,FJI,2022,NA,27.6,27.6,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Finland,FIN,2022,NA,22.3,22.3,The most recent survey was conducted in 2020-21. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,France,FRA,2022,NA,34.6,34.6,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Gambia,GMB,2022,NA,10.5,10.5,The most recent survey was conducted in 2018. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Georgia,GEO,2022,NA,31.8,31.8,The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Germany,DEU,2022,NA,21.3,21.3,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Ghana,GHA,2022,NA,3.4,3.4,The most recent survey was conducted in 2017-18. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Global,GLOBAL,2022,NA,20.9,20.9,
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Greece,GRC,2022,NA,32.8,32.8,The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Guatemala,GTM,2022,NA,11.9,11.9,The most recent survey was conducted in 2014-15. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Guinea-Bissau,GNB,2022,NA,8.2,8.2,The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Guyana,GUY,2022,NA,11.1,11.1,The most recent survey was conducted in 2016. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Haiti,HTI,2022,NA,8.1,8.1,The most recent survey was conducted in 2016-17. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Honduras,HND,2022,NA,12.3,12.3,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Hungary,HUN,2022,NA,32.2,32.2,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Iceland,ISL,2022,NA,9.4,9.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,India,IND,2022,NA,24.3,24.3,The most recent survey was conducted in 2019-21. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Indonesia,IDN,2022,NA,38.2,38.2,The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Iran (Islamic Republic of),IRN,2022,NA,13.3,13.3,The most recent survey was conducted in 2016. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Iraq,IRQ,2022,NA,19.2,19.2,The most recent survey was conducted in 2018. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Ireland,IRL,2022,NA,19.3,19.3,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020-21. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Israel,ISR,2022,NA,20.4,20.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Italy,ITA,2022,NA,22.4,22.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Jamaica,JAM,2022,NA,9.7,9.7,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2016-17. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Japan,JPN,2022,NA,19.2,19.2,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Jordan,JOR,2022,NA,35.6,35.6,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2019. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Kazakhstan,KAZ,2022,NA,22.2,22.2,The most recent survey was conducted in 2021. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Kenya,KEN,2022,NA,10.7,10.7,The most recent survey was conducted in 2015. This is a projection.
Age-standardized prevalence of tobacco use among persons 15 years and older  (%),M_Est_tob_curr_std,Kiribati,KIR,2022,NA,39.7,39.7,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2018-19. This is a projection.
